,Member_number,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level
1888,2943,193,4,54.230000000000004,2,3,2,232,7,At-Risk/Occasional
3329,4420,308,3,54.2,1,2,2,122,5,At-Risk/Occasional
3462,4559,232,4,54.2,2,3,2,232,7,At-Risk/Occasional
1968,3024,372,2,54.199999999999996,1,1,2,112,4,At-Risk/Occasional
1837,2891,181,1,54.15,2,1,2,212,5,At-Risk/Occasional
2741,3813,346,2,54.1,1,1,2,112,4,At-Risk/Occasional
157,1163,16,3,54.1,4,2,2,422,8,Active Customers
2012,3068,194,3,54.1,2,2,2,222,6,At-Risk/Occasional
291,1301,57,3,54.0,4,2,2,422,8,Active Customers
2266,3330,157,2,54.0,2,1,2,212,5,At-Risk/Occasional
3665,4764,94,3,53.95,3,2,2,322,7,At-Risk/Occasional
2715,3787,97,3,53.95,3,2,2,322,7,At-Risk/Occasional
781,1803,232,4,53.9,2,3,2,232,7,At-Risk/Occasional
3551,4649,451,5,53.86,1,4,2,142,7,Loyal Customers
1689,2740,181,2,53.800000000000004,2,1,2,212,5,At-Risk/Occasional
0,1000,35,5,53.8,4,4,2,442,10,Loyal Customers
1328,2368,49,1,53.79999999999999,4,1,2,412,7,Active Customers
3116,4200,555,1,53.760000000000005,1,1,2,112,4,At-Risk/Occasional
2404,3473,267,3,53.71999999999999,2,2,2,222,6,At-Risk/Occasional
1244,2281,64,1,53.7,3,1,2,312,6,At-Risk/Occasional
1054,2080,253,2,53.6,2,1,2,212,5,At-Risk/Occasional
1117,2147,48,4,53.6,4,3,2,432,9,Active Customers
2596,3667,382,4,53.6,1,3,2,132,6,At-Risk/Occasional
1570,2620,16,4,53.550000000000004,4,3,2,432,9,Active Customers
3613,4711,104,4,53.550000000000004,3,3,2,332,8,At-Risk/Occasional
1712,2763,320,4,53.540000000000006,1,3,2,132,6,At-Risk/Occasional
3418,4513,56,2,53.489999999999995,4,1,2,412,7,Active Customers
2333,3401,93,3,53.400000000000006,3,2,2,322,7,At-Risk/Occasional
2738,3810,237,2,53.400000000000006,2,1,2,212,5,At-Risk/Occasional
20,1021,53,3,53.4,4,2,2,422,8,Active Customers
3689,4790,137,3,53.39,3,2,2,322,7,At-Risk/Occasional
3295,4385,43,2,53.38,4,1,2,412,7,Active Customers
566,1580,25,7,53.35,4,4,2,442,10,Loyal Customers
3330,4422,437,2,53.32000000000001,1,1,2,112,4,At-Risk/Occasional
3517,4615,427,2,53.300000000000004,1,1,2,112,4,At-Risk/Occasional
2506,3577,232,3,53.300000000000004,2,2,2,222,6,At-Risk/Occasional
132,1138,119,3,53.3,3,2,2,322,7,At-Risk/Occasional
106,1111,40,4,53.3,4,3,2,432,9,Active Customers
3253,4341,430,3,53.230000000000004,1,2,2,122,5,At-Risk/Occasional
661,1679,22,4,53.2,4,3,2,432,9,Active Customers
3671,4771,369,3,53.2,1,2,2,122,5,At-Risk/Occasional
1853,2908,290,3,53.199999999999996,1,2,2,122,5,At-Risk/Occasional
941,1964,394,4,53.17,1,3,2,132,6,At-Risk/Occasional
1537,2586,65,2,53.1,3,1,2,312,6,At-Risk/Occasional
1480,2527,141,2,53.099999999999994,3,1,2,312,6,At-Risk/Occasional
1313,2352,239,3,53.09,2,2,2,222,6,At-Risk/Occasional
3841,4944,88,4,53.05,3,3,2,332,8,At-Risk/Occasional
